Fieldname_HEAL,Fieldname_phase1,Data Type,Lookup Needed,Algorithm,Key,Table_HEAL,Table_phase1,NOT NULL,Default Value,Field Status,Instrument,Description,Comments
AreYouStudyPI,pi,boolean,,,,StudyPI,proposal,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Study Principal Investigator or not,
submitterID,pi_id,int,,,foreign (Submitter),StudyPI,PI,TRUE,Automated default value,,,Submitter PI id,newly created field in older mapping
CTSAhubPIFirstName,pi_name/pi_name_2,text,,Extract first name,,CTSA,PI,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,CTSA Hub PI first name,PI's first name needs to be parsed out
CTSAhubPILastName,pi_name/pi_name_2,text,,Extract last name,,CTSA,PI,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,CTSA Hub PI last name,PI's last name needs to be parsed out
submitterID,pi_id,int,,,foreign (Submitter),CTSA,PI,TRUE,Automated default value,,,Submitter PI id,newly created field in older mapping
approvalfromCTSA,review_discuss,boolean,,,,CTSA,proposal,TRUE,FALSE,,trial_innovation_network_proposal_intake_form,Approval from your CTSA Hub PI or Trial Innovation Network Hub liaison team received or not,
ProposalID,proposal_id,int,,,foreign (Proposal),ProposalDetails,proposal,TRUE,ERROR MESSAGE,,admin_review,Proposal ID,
therapeuticArea,theraputic_area,text,yes,,,ProposalDetails,study,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Therapeutic area of study,
rareDisease,rare_disease,boolean,,,,ProposalDetails,study,TRUE,FALSE,,trial_innovation_network_proposal_intake_form,Rare disease study or not,
numberSubjects,number_subjects,int,,,,ProposalDetails,study,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Estimated number of subjects,
studyPopulation,prop_summary_describe2_a20,text,,,,ProposalDetails,study,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,"Specifies study population, sample size, gender, age, demographics, health status, location etc",
numberSites,number_sites,int,,,,ProposalDetails,study,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Estimated number of sites,
numberNonUSsites,non_us_sites,int,,,,ProposalDetails,study,FALSE,,,trial_innovation_network_proposal_intake_form,Number of non-US sites,
listCountries,city_list,text,,,,ProposalDetails,study,FALSE,,,trial_innovation_network_proposal_intake_form,Non-US site countries,
numberCTSAprogHubSites,number_csta_sites,int,,,,ProposalDetails,study,FALSE,,,trial_innovation_network_proposal_intake_form,Number of CTSA program hub sites,
submitterID,pi_id,int,,,primary,Submitter,PI,TRUE,Automated default value,,,Submitter PI id,newly created field in older mapping
userId,n/a,text,,,foreign (User),Submitter,n/a,TRUE,ERROR MESSAGE,New,n/a,User id for logging into the dashboard,
submitterFirstName,pi_firstname,text,,,,Submitter,PI,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Submitter PI first name,
submitterLastName,pi_lastname,text,,,,Submitter,PI,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Submitter PI last name,
submitterFacultyStatus,staff_status,int,,,,Submitter,PI,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Your faculty/staff status,
submitterEmail,submitters_contact_email,text,,,,Submitter,contact,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,"PI contact info, parsed out from free text if possible",Renamed field name
submitterPhone,phone,text,,,,Submitter,contact,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,"PI contact info, parsed out from free text if possible",Renamed field name
submitterInstitution,institute_center,text,yes,,,Submitter,funding,TRUE,ERROR MESSAGE,,trial_innovation_network_proposal_intake_form,Which institute/center,
ProposalID,proposal_id,int,,,foreign (Proposal),ProtocolTimelines_estimated,proposal,TRUE,ERROR MESSAGE,,admin_review,Proposal ID,
plannedFinalProtocol,protocol_final_start,date,,,,ProtocolTimelines_estimated,proposal,FALSE,,,initial_consultation_status_and_summary,Protocol Final Planned Start Date,
plannedFirstSiteActivated,site_active_date,date,,,,ProtocolTimelines_estimated,proposal,FALSE,,,trial_innovation_network_proposal_intake_form,date planned for first site activated,
plannedSubmissionDate,planned_submission_date,date,,,,ProtocolTimelines_estimated,proposal,FALSE,,,trial_innovation_network_proposal_intake_form,planned date for submission for funding,
